"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"约克智慧家","语音模块测试","语音模块详细测试1","0","0","1","0","0"
"约克智慧家","冒烟测试","密码登录","0","0","1","0","0"
"约克智慧家","冒烟测试","地址更改","0","0","1","0","0"
"约克智慧家","冒烟测试","地图更改","0","0","1","0","0"
"约克智慧家","冒烟测试","记住密码","0","0","1","0","0"
"约克智慧家","语音模块测试","语音模块详细测试4","0","0","1","0","0"
"约克智慧家","头像模块测试","更换头像1","0","0","1","0","0"
"约克智慧家","冒烟测试","添加家庭","0","0","1","0","0"
"约克智慧家","头像模块测试","更换头像2","0","0","1","0","0"
"约克智慧家","头像模块测试","更换头像3","0","0","1","0","0"
"约克智慧家","冒烟测试","验证码登录","0","0","1","0","0"
"约克智慧家","冒烟测试","删除家庭","0","0","1","0","0"
"约克智慧家","冒烟测试","退出登录","0","0","1","0","0"
"约克智慧家","语音模块测试","语音模块详细测试2","0","0","1","0","0"
"约克智慧家","语音模块测试","语音模块详细测试3","0","0","1","0","0"
